Grupo muscular (es),Ejercicio (es),Ejercicio (en),Descripción,Ruta imagen
Muslos,Cuclillas de prisionero,Prisoner Squat,"Read our prisoner squat guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Cuclillas de prisionero\Read our prisoner squat guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Muslos,Squat de la banda de resistencia,Resistance Band Squat,"Read our resistance band squat guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Squat de la banda de resistencia\Read our resistance band squat guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Muslos,Caminata de la banda de resistencia,Resistance Band Walk,"Read our resistance band walk guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Caminata de la banda de resistencia\Read our resistance band walk guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Muslos,Extensión de la pierna inversa,Reverse Leg Extension,"Read our reverse leg extension guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Extensión de la pierna inversa\Read our reverse leg extension guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Muslos,Rizo de la pierna del anillo,Ring Leg Curl,"Read our ring leg curl guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Rizo de la pierna del anillo\Read our ring leg curl guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Muslos,Salto de cohete,Rocket Jump,"Read our rocket jump guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Salto de cohete\Read our rocket jump guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Muslos,Squat Suck de la barra de seguridad,Safety Bar Front Squat,"Read our safety bar front squat guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Squat Suck de la barra de seguridad\Read our safety bar front squat guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Muslos,Estiramiento de cuádriceps sentados,Seated Quadriceps Stretch,"Read our seated quadriceps stretch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Estiramiento de cuádriceps sentados\Read our seated quadriceps stretch guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Muslos,Puente de hombro,Shoulder Bridge,"Read our shoulder bridge guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Puente de hombro\Read our shoulder bridge guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.jpg"
Muslos,Supilos de división lateral,Side Split Squat,"Read our side split squat guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Supilos de división lateral\Read our side split squat guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Muslos,Empuje de una sola pierna,Single Leg Push Off,"Read our single leg push off guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Empuje de una sola pierna\Read our single leg push off guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Muslos,Sucuración de una sola pierna con soporte,Single Leg Squat With Support,"Read our single leg squat with support guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Sucuración de una sola pierna con soporte\Read our single leg squat with support guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.jpg"
Muslos,Sissy Squat -Bodywight,Sissy Squat Bodyweight,"Read our sissy squat bodyweight guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Sissy Squat -Bodywight\Read our sissy squat bodyweight guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Muslos,Sentarse,Sit Squat,"Read our sit squat guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Sentarse\Read our sit squat guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Muslos,Trineo de 45 piernas,Sled 45 Leg Press,"Read our sled 45 leg press guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Trineo de 45 piernas\Read our sled 45 leg press guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Muslos,Smith Front Slat,Smith Front Squat,"Read our smith front squat guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Smith Front Slat\Read our smith front squat guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Muslos,Tirón,Squat Jerk,"Read our squat jerk guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Tirón\Read our squat jerk guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Muslos,Movilidad en cuclillas,Squat Mobility,"Read our squat mobility guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Movilidad en cuclillas\Read our squat mobility guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.jpg"
Muslos,Estante de los isquiotibiales de la rodilla doblada de la pata alta,Standing High Leg Bent Knee Hamstring Stretch,"Read our standing high leg bent knee hamstring stretch guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Estante de los isquiotibiales de la rodilla doblada de la pata alta\Read our standing high leg bent knee hamstring stretch guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.jpg"
Muslos,Estiramiento de flexor de la cadera de pie,Standing Hip Flexor Stretch,"Read our standing hip flexor stretch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Estiramiento de flexor de la cadera de pie\Read our standing hip flexor stretch guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Muslos,Caminata de pato de hombre fuerte,Strongman Duck Walk,"Read our strongman duck walk guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Caminata de pato de hombre fuerte\Read our strongman duck walk guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Muslos,Strongman Shield Carry,Strongman Shield Carry,"Read our strongman shield carry guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Strongman Shield Carry\Read our strongman shield carry guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Muslos,Strongman Timber Carry,Strongman Timber Carry,"Read our strongman timber carry guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Strongman Timber Carry\Read our strongman timber carry guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.jpg"
Muslos,Carretilla Strongman,Strongman Wheelbarrow,"Read our strongman wheelbarrow guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Carretilla Strongman\Read our strongman wheelbarrow guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Muslos,Sentadillas apoyadas,Supported Squat,"Read our supported squat guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Sentadillas apoyadas\Read our supported squat guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.webp"
Muslos,Volteo,Tire Flip,"Read our tire flip guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Volteo\Read our tire flip guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Muslos,Paso adelante,Transverse Step Up,"Read our transverse step up guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Paso adelante\Read our transverse step up guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Muslos,Trap Bar Farmers Carry,Trap Bar Farmers Carry,"Read our trap bar farmers carry guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Trap Bar Farmers Carry\Read our trap bar farmers carry guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Muslos,Trampa de la barra,Trap Bar Squat,"Read our trap bar squat guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Muslos\Trampa de la barra\Read our trap bar squat guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Tríceps,Salsa de tríceps asistido,Assisted Triceps Dip,"Read our assisted triceps dip guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Tríceps\Salsa de tríceps asistido\Read our assisted triceps dip guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.jpg"
Tríceps,Retroceso de la banda,Band Kickback,"Read our band kickback guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Tríceps\Retroceso de la banda\Read our band kickback guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Tríceps,Extensión de tríceps de banda de banda,Band Overhead Triceps Extension,"Read our band overhead triceps extension guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Tríceps\Extensión de tríceps de banda de banda\Read our band overhead triceps extension guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Tríceps,Pushdown de la banda,Band Pushdown,"Read our band pushdown guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Tríceps\Pushdown de la banda\Read our band pushdown guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Tríceps,Banda de retroceso de tríceps,Band Triceps Kickback,"Read our band triceps kickback guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Tríceps\Banda de retroceso de tríceps\Read our band triceps kickback guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Tríceps,Extensión mentirosa de barra,Barbell Lying Extension,"Read our barbell lying extension guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Tríceps\Extensión mentirosa de barra\Read our barbell lying extension guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Tríceps,Extensión de tríceps de barra y mentirosa,Barbell Lying Triceps Extension,"Read our barbell lying triceps extension guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Tríceps\Extensión de tríceps de barra y mentirosa\Read our barbell lying triceps extension guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
